"","YearStart","LocationDesc","Class","Question","Data_Value","StratificationCategory1","Stratification1"
"51",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Income","$75,000 or greater"
"52",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.9,"Income","Data not reported"
"53",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Race/Ethnicity","Non-Hispanic White"
"54",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",41.3,"Race/Ethnicity","Non-Hispanic Black"
"55",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.2,"Race/Ethnicity","Hispanic"
"56",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Asian"
"57",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"58",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",46.2,"Race/Ethnicity","American Indian/Alaska Native"
"59",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","2 or more races"
"60",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"61",2015,"National","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.9,"Total","Total"
"62",2015,"National","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",10.2,"Race/Ethnicity","Asian"
"63",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.3,"Age (years)","35 - 44"
"64",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.5,"Total","Total"
"65",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.1,"Gender","Male"
"66",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.8,"Education","Less than high school"
"67",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.4,"Education","High school graduate"
"68",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.4,"Education","Some college or technical school"
"69",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.1,"Education","College graduate"
"70",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",20.4,"Age (years)","18 - 24"
"71",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.7,"Age (years)","25 - 34"
"72",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",40.9,"Age (years)","35 - 44"
"73",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",39.9,"Age (years)","45 - 54"
"74",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.4,"Age (years)","55 - 64"
"75",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.9,"Age (years)","65 or older"
"76",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.5,"Income","Less than $15,000"
"77",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",40.6,"Income","$15,000 - $24,999"
"78",2015,"National","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.3,"Race/Ethnicity","Other"
"79",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.4,"Income","$25,000 - $34,999"
"80",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.5,"Income","$35,000 - $49,999"
"81",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.4,"Income","$50,000 - $74,999"
"82",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31,"Income","$75,000 or greater"
"83",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28,"Income","Data not reported"
"84",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.4,"Race/Ethnicity","Non-Hispanic White"
"85",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",41.9,"Race/Ethnicity","Non-Hispanic Black"
"86",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.9,"Race/Ethnicity","Hispanic"
"87",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Asian"
"88",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"89",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.2,"Race/Ethnicity","American Indian/Alaska Native"
"90",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",39.3,"Race/Ethnicity","2 or more races"
"91",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"92",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.6,"Age (years)","45 - 54"
"93",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.3,"Age (years)","55 - 64"
"94",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",20.1,"Age (years)","25 - 34"
"95",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.7,"Total","Total"
"96",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.9,"Gender","Male"
"97",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.4,"Gender","Female"
"98",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.3,"Education","Less than high school"
"99",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.8,"Education","High school graduate"
"100",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Education","Some college or technical school"
"101",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.9,"Education","College graduate"
"102",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",9,"Age (years)","18 - 24"
"103",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.8,"Age (years)","65 or older"
"104",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.4,"Income","Less than $15,000"
"105",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.2,"Income","$15,000 - $24,999"
"106",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24,"Income","$25,000 - $34,999"
"107",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.3,"Income","$35,000 - $49,999"
"108",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.4,"Income","$50,000 - $74,999"
"109",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.4,"Income","$75,000 or greater"
"110",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",20.2,"Income","Data not reported"
"111",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26,"Race/Ethnicity","Non-Hispanic White"
"112",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",39,"Race/Ethnicity","Non-Hispanic Black"
"113",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.1,"Race/Ethnicity","Hispanic"
"114",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",2.3,"Race/Ethnicity","Asian"
"115",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"116",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.9,"Race/Ethnicity","American Indian/Alaska Native"
"117",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.4,"Race/Ethnicity","2 or more races"
"118",2012,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.5,"Race/Ethnicity","Other"
"119",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",12.6,"Age (years)","18 - 24"
"120",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.4,"Total","Total"
"121",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.2,"Gender","Male"
"122",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.5,"Gender","Female"
"123",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.2,"Education","Less than high school"
"124",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.1,"Education","High school graduate"
"125",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Education","Some college or technical school"
"126",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.2,"Education","College graduate"
"127",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.1,"Age (years)","25 - 34"
"128",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.5,"Age (years)","35 - 44"
"129",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.8,"Age (years)","45 - 54"
"130",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.1,"Age (years)","55 - 64"
"131",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.4,"Age (years)","65 or older"
"132",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.3,"Income","Less than $15,000"
"133",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.7,"Income","$15,000 - $24,999"
"134",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.5,"Income","$25,000 - $34,999"
"135",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.7,"Income","$35,000 - $49,999"
"136",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.3,"Income","$50,000 - $74,999"
"137",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27,"Income","$75,000 or greater"
"138",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",19.6,"Income","Data not reported"
"139",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.4,"Race/Ethnicity","Non-Hispanic White"
"140",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",39.5,"Race/Ethnicity","Non-Hispanic Black"
"141",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.7,"Race/Ethnicity","Hispanic"
"142",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.3,"Race/Ethnicity","Asian"
"143",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"144",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.6,"Race/Ethnicity","American Indian/Alaska Native"
"145",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.2,"Race/Ethnicity","2 or more races"
"146",2013,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"147",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.7,"Total","Total"
"148",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.3,"Gender","Male"
"149",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.2,"Gender","Female"
"150",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.8,"Education","Less than high school"
"151",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.3,"Education","High school graduate"
"152",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34,"Education","Some college or technical school"
"153",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.4,"Education","College graduate"
"154",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",14,"Age (years)","18 - 24"
"155",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28,"Age (years)","25 - 34"
"156",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.6,"Age (years)","35 - 44"
"157",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.2,"Age (years)","45 - 54"
"158",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.5,"Age (years)","55 - 64"
"159",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Age (years)","65 or older"
"160",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.5,"Income","Less than $15,000"
"161",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Income","$15,000 - $24,999"
"162",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.9,"Income","$25,000 - $34,999"
"163",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36,"Income","$35,000 - $49,999"
"164",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.2,"Income","$50,000 - $74,999"
"165",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.3,"Income","$75,000 or greater"
"166",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",18.8,"Income","Data not reported"
"167",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.6,"Race/Ethnicity","Non-Hispanic White"
"168",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",42.3,"Race/Ethnicity","Non-Hispanic Black"
"169",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Race/Ethnicity","Hispanic"
"170",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",17.8,"Race/Ethnicity","Asian"
"171",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"172",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.8,"Race/Ethnicity","American Indian/Alaska Native"
"173",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34,"Race/Ethnicity","2 or more races"
"174",2014,"Alaska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"175",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26,"Total","Total"
"176",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.4,"Gender","Male"
"177",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.6,"Gender","Female"
"178",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.3,"Education","Less than high school"
"179",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Education","High school graduate"
"180",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.3,"Education","Some college or technical school"
"181",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.3,"Education","College graduate"
"182",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",16.2,"Age (years)","18 - 24"
"183",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.2,"Age (years)","25 - 34"
"184",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.4,"Age (years)","35 - 44"
"185",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.6,"Age (years)","45 - 54"
"186",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.3,"Age (years)","55 - 64"
"187",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.6,"Age (years)","65 or older"
"188",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.1,"Income","Less than $15,000"
"189",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.1,"Income","$15,000 - $24,999"
"190",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.9,"Income","$25,000 - $34,999"
"191",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.2,"Income","$35,000 - $49,999"
"192",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.1,"Income","$50,000 - $74,999"
"193",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.6,"Income","$75,000 or greater"
"194",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.4,"Income","Data not reported"
"195",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.1,"Race/Ethnicity","Non-Hispanic White"
"196",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.4,"Race/Ethnicity","Non-Hispanic Black"
"197",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.9,"Race/Ethnicity","Hispanic"
"198",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",4.3,"Race/Ethnicity","Asian"
"199",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"200",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",45.8,"Race/Ethnicity","American Indian/Alaska Native"
"201",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.6,"Race/Ethnicity","2 or more races"
"202",2012,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.2,"Race/Ethnicity","Other"
"203",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.8,"Total","Total"
"204",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.5,"Gender","Male"
"205",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.1,"Gender","Female"
"206",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",42.5,"Education","Less than high school"
"207",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.3,"Education","High school graduate"
"208",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.9,"Education","Some college or technical school"
"209",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",19.2,"Education","College graduate"
"210",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",13.4,"Age (years)","18 - 24"
"211",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Age (years)","25 - 34"
"212",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.6,"Age (years)","35 - 44"
"213",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.6,"Age (years)","45 - 54"
"214",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.4,"Age (years)","55 - 64"
"215",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.2,"Age (years)","65 or older"
"216",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.4,"Income","Less than $15,000"
"217",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.7,"Income","$15,000 - $24,999"
"218",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.5,"Income","$25,000 - $34,999"
"219",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22,"Income","$35,000 - $49,999"
"220",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.3,"Income","$50,000 - $74,999"
"221",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.5,"Income","$75,000 or greater"
"222",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.2,"Income","Data not reported"
"223",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.7,"Race/Ethnicity","Non-Hispanic White"
"224",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.5,"Race/Ethnicity","Non-Hispanic Black"
"225",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36.7,"Race/Ethnicity","Hispanic"
"226",2013,"Arizona","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Asian"
